Timestamp,User_Role,Organization_Type,Midnight_Preprod_Address,Rating_1_to_5,Key_Feature_Used,Feedback_Comment,Requested_Enhancement,Product_Iteration_Commit
2026-03-01 10:14:22,Private Wealth Manager,Family Office,midnight1addr_wealth_mgr_01,5,Accredited Investor Tier ($100k+),The local ZK proof generation ensures our high-net-worth clients never leak their account balance to public block explorers.,Add multi-asset portfolio aggregation before proof synthesis.,6ad8721
2026-03-01 11:25:09,DeFi Vault Architect,Lending Protocol,midnight1addr_defi_vault_02,5,DeFi Vault Gating Demo,Seamless integration between Midnight soulbound credential and Aave-style lending vaults.,Provide an npm SDK package with React hooks for custom DApps.,8df3399
2026-03-01 12:40:15,Institutional Whale,Crypto Hedge Fund,midnight1addr_whale_fund_03,5,Institutional Whale Tier ($25M+),Crucial for our compliance team to participate in permissioned liquidity pools without regulatory violations.,Enable scheduled proof refreshes so credentials automatically renew quarterly.,b9906a8
2026-03-01 14:05:41,Compliance Officer,FinTech Regulated Entity,midnight1addr_compliance_04,5,Dual-State Privacy Inspector,The separation between private witness and public nullifier is crystal clear in the UI inspector.,Provide downloadable cryptographic attestation receipts for audits.,0267026
2026-03-01 15:30:18,Qualified Purchaser,Angel Syndicate,midnight1addr_angel_syn_05,4,Qualified Purchaser Tier ($5M+),Super fast proof synthesis (~1.2s). Much cleaner than uploading PDF bank statements to KYC portals.,Add direct Lace wallet auto-reconnect on page reload.,b9906a8
2026-03-01 16:45:50,DApp Developer,Midnight Ecosystem,midnight1addr_dev_eco_06,5,Contract Explorer,The generated managed bindings in TypeScript make interacting with Compact contracts effortless.,Include interactive contract query simulator in the UI.,6ad8721
2026-03-01 18:12:33,Retail Accredited Investor,Independent Investor,midnight1addr_retail_acc_07,5,Accredited Investor Tier ($100k+),I love the 1-Click Instant Demo Wallet. It let me test the entire ZK flow without installing any extension first.,Keep the demo wallet feature as permanent fallback for testing.,6ad8721
2026-03-01 19:22:11,Security Auditor,ZK Audit Firm,midnight1addr_sec_auditor_08,5,Anti-Replay Nullifier,The Poseidon hash nullifier construction cleanly prevents double-claim and identity linkage.,Document the formal circuit constraints in the README.,8df3399
2026-03-01 20:55:04,Venture Capital Partner,Web3 VC,midnight1addr_vc_partner_09,5,Institutional Whale Tier ($25M+),Solves one of the biggest bottlenecks in compliant Web3 capital formation.,Add support for multi-sig and institutional custodial wallets (Fireblocks).,b9906a8
2026-03-02 09:10:19,Product Manager,RWA Tokenization Platform,midnight1addr_rwa_pm_10,4,Accredited Investor Tier ($100k+),Essential for RWA real estate token sales where only verified investors can hold tokens.,Add automated webhook notifications on successful proof issuance.,0267026
2026-03-02 10:35:44,DeFi Yield Farmer,DAO Treasury Member,midnight1addr_yield_farmer_11,5,DeFi Vault Gating Demo,Smooth transition from credential verification to earning VIP yield on Midnight vaults.,Provide gas fee estimate comparison before submitting proof.,0267026
2026-03-02 11:50:02,Legal Counsel,Digital Asset Law Firm,midnight1addr_legal_counsel_12,5,Dual-State Privacy Inspector,Satisfies US SEC Rule 506(c) verification standards while preserving consumer financial privacy.,Add legal disclaimer templates for protocol integrators.,6ad8721
2026-03-02 13:15:30,Crypto Fund Analyst,Quantitative Fund,midnight1addr_quant_fund_13,5,Qualified Purchaser Tier ($5M+),Extremely fast witness execution in WebAssembly. Zero performance hiccups.,Add dark/light contrast adjustment toggle.,b9906a8
2026-03-02 14:40:12,Frontend Engineer,Cardano/Midnight Builder,midnight1addr_fe_builder_14,5,Circuit Visualizer,The step-by-step animation of private witness passing into the ZK prover is educational and gorgeous.,Add interactive constraint slider in the visualizer.,8df3399
2026-03-02 16:05:49,Token Sale Participant,Launchpad User,midnight1addr_launchpad_user_15,5,Accredited Investor Tier ($100k+),I can finally participate in private sales without giving away my bank credentials to third-party brokers.,Provide mobile browser support with mobile wallet deep-linking.,b9906a8
2026-03-02 17:20:33,Institutional Custodian,Asset Servicing,midnight1addr_custodian_16,4,Institutional Whale Tier ($25M+),High-throughput proof verification on Midnight Preprod network is impressive.,Support hardware key signing (Ledger/Trezor).,0267026
2026-03-02 18:45:10,Compliance Auditor,European RegTech,midnight1addr_eu_regtech_17,5,Privacy Model Inspector,Compliant with EU GDPR Article 25 (Data Protection by Design and by Default).,Add multilingual localized UI for European markets.,6ad8721
2026-03-02 20:10:25,DeFi Protocol Founder,DEX Platform,midnight1addr_dex_founder_18,5,GateBuilder Tool,The GateBuilder allows custom threshold gates for liquidity pools in just 2 clicks.,Allow export of custom gate configurations as JSON.,8df3399
2026-03-03 08:30:14,Private Equity Associate,Tech Growth Fund,midnight1addr_pe_assoc_19,5,Qualified Purchaser Tier ($5M+),Enables private equity syndicates to onboard investors instantly without weeks of paperwork.,Add PDF credential summary export with QR verification code.,6ad8721
2026-03-03 09:45:30,Midnight Community Member,Midnight Ambassador,midnight1addr_ambassador_20,5,Verifier Portal,The Verifier Portal allows any third-party dapp to verify a proof in real-time with zero friction.,Add one-click verify button for mobile users.,b9906a8
2026-03-03 11:00:52,Fintech Developer,Neobank Integration,midnight1addr_neobank_21,5,Local Proof Server,Running the proof server locally guarantees that private data never touches our cloud servers.,Provide a lightweight Docker container for local prover.,0267026
